#{"t_start": 1748053850.8665836, "env_id": "None"}
r,l,t
338.49826,1000,1848.444115
299.85382,1000,1848.66564
258.36792,1000,1849.959879
-4.6127415,1,1849.990349
268.72226,1000,1852.254719
123.11395,1000,1853.801466
544.2553,1000,1857.4844
45.149033,225,1858.696202
141.71689,1000,1864.736063
-4.605911,1,1864.765693
376.77655,1000,1869.784416
242.48732,1000,1877.035005
-4.6092362,1,1877.061475
348.15665,1000,1877.224745
-4.6006603,1,1877.252644
261.62775,1000,1878.417002
1.1184303,3,1878.481533
-4.624288,1,1878.505077
476.8123,1000,1881.963949
56.405807,202,1884.04528
307.8878,1000,1885.541998
513.8801,1000,1886.722171
289.91278,1000,1892.881258
297.87097,1000,1897.735564
41.71319,140,1901.750161
258.87155,1000,1905.099148
257.90768,1000,1905.29218
-4.6000805,1,1905.319861
217.22353,1000,1910.106005
292.77167,1000,1912.255891
227.69164,1000,1913.708139
232.60825,1000,1914.862516
318.00482,1000,1920.811345
251.00847,1000,1929.643888
-4.6114116,1,1929.671553
401.06042,1000,1933.044875
187.95715,1000,1933.266573
334.22885,1000,1938.137713
400.5707,1000,1940.264936
292.67862,1000,1941.813923
273.57666,1000,1942.939635
-4.6030674,1,1942.969327
323.6878,1000,1949.056005
383.3126,1000,1957.828931
54.46329,1000,1961.246832
-4.612792,1,1961.278851
375.65585,1000,1961.481882
-4.6207385,1,1961.510289
634.16235,1000,1966.449527
311.01474,1000,1968.460081
345.82678,1000,1969.981768
54.60401,140,1970.255212
338.3551,1000,1971.190187
31.960127,134,1973.782276
332.14523,1000,1977.392169
318.87772,1000,1986.385654
346.3957,1000,1989.863801
296.09128,1000,1990.096564
428.91605,1000,1997.156101
343.5626,1000,1998.909571
415.59372,1000,1999.869177
-4.623923,1,1999.899745
24.756142,85,2001.350455
143.0595,1000,2002.443524
-3.8207755,4,2002.557201
202.84593,1000,2005.937551
-4.6095653,1,2005.966917
-4.604721,1,2005.995521
296.82742,1000,2015.003194
518.4861,1000,2018.452327
352.69644,1000,2018.684055
70.15111,227,2021.442784
239.80269,1000,2025.716783
351.6178,1000,2028.527343
493.35547,1000,2029.948961
299.30377,1000,2031.224426
-4.618828,1,2031.253778
229.99748,1000,2034.816216
321.93994,1000,2047.280979
364.729,1000,2047.502816
333.7321,1000,2050.393891
-4.6349535,1,2050.42228
344.3305,1000,2054.715995
360.4965,1000,2057.515595
-3.3989167,6,2057.678961
502.10098,1000,2058.866169
321.2115,1000,2060.077747
59.204407,146,2061.711066
358.1442,1000,2063.395905
59.29059,141,2065.563041
368.53143,1000,2075.218813
359.09134,1000,2075.41206
341.7107,1000,2078.114528
339.75497,1000,2082.199049
365.86905,1000,2086.359778
301.78085,1000,2087.564518
307.36417,1000,2090.940227
347.73523,1000,2093.112791
213.55994,1000,2103.012714
343.16763,1000,2103.245164
458.4685,1000,2106.074348
27.756865,86,2108.504851
306.10745,1000,2110.316911
255.44638,1000,2114.450388
-4.6080313,1,2114.478814
374.0958,1000,2115.620242
257.7025,1000,2119.01959
245.75368,1000,2121.190886
73.394394,285,2123.676946
90.13114,337,2128.603148
351.73477,1000,2131.178695
189.55513,1000,2131.395329
268.83435,1000,2136.628725
198.90425,1000,2138.345738
332.38715,1000,2142.577279
124.37283,363,2146.678813
417.5652,1000,2149.11175
315.59732,1000,2151.501481
-4.604069,1,2151.527378
47.6115,131,2155.017244
317.0851,1000,2156.083904
588.8152,1000,2158.570426
366.84055,1000,2158.794733
272.54968,1000,2165.554688
275.36697,1000,2169.713581
280.3571,1000,2173.958246
261.1854,1000,2176.566021
248.4111,1000,2182.597743
415.78726,1000,2183.760361
325.1005,1000,2186.427602
316.25284,1000,2186.664578
24.372622,108,2186.866133
33.315315,105,2189.767547
-4.623764,1,2189.795411
324.4912,1000,2193.565451
64.26266,274,2197.423012
-4.6003137,1,2197.450792
315.51938,1000,2197.725132
204.22151,1000,2201.948251
44.208164,239,2204.366073
591.937,1000,2204.450113
272.07816,1000,2210.470037
308.88208,1000,2214.149366
561.5642,1000,2214.390596
327.0509,1000,2221.378839
372.2666,1000,2225.316998
320.64172,470,2227.631747
424.89978,1000,2229.900082
240.26482,1000,2232.544576
268.3669,1000,2232.630652
100.550934,225,2236.465482
314.3509,1000,2238.82033
-4.602358,1,2238.849504
349.4539,1000,2242.620999
80.32167,368,2249.182736
