#{"t_start": 1747809037.366212, "env_id": "None"}
r,l,t
-8.0663805,200,125.146248
-6.091282,67,125.350723
32.651367,200,125.645253
10.053659,200,125.678735
-5.891152,81,126.032026
16.584362,200,126.043863
0.42932484,99,126.242414
33.446323,200,126.627442
-11.558802,200,127.035663
8.379563,139,127.210059
7.413957,200,127.558017
38.21863,200,127.821429
-7.1633415,93,128.215763
20.322214,200,128.215853
-0.16049324,200,128.230399
3.5893223,114,128.286834
1.8678408,200,128.462983
30.31563,200,128.871603
2.7568092,113,129.591033
-5.4174657,123,129.789819
34.832554,200,129.935294
14.75101,140,129.944307
-3.106101,200,130.203986
12.337488,200,130.629573
27.961098,200,130.824313
10.996836,200,131.203501
38.538048,200,131.895423
2.6705768,200,132.086381
35.764553,200,132.211528
-4.290433,200,132.22607
49.425896,176,132.226145
11.233651,197,132.89167
-9.622232,62,132.952696
-4.682493,200,133.106626
7.9076724,200,133.457716
10.003908,200,134.121814
6.2163916,200,134.297611
10.613156,200,134.442051
13.310581,200,134.453958
26.484325,200,135.061146
-1.7172097,88,135.105119
-3.7425547,200,135.128328
-0.96199024,200,135.295102
-4.9410386,94,135.478051
10.780605,107,135.497237
-1.5259902,100,135.548142
42.03408,200,135.670614
-3.5612588,81,136.044308
9.209654,128,137.133296
-2.5807197,200,137.318692
7.607899,200,137.37468
26.992893,169,137.480802
21.268145,126,137.480865
52.300835,200,137.579725
3.1323352,200,137.737629
47.39244,200,137.759918
-2.8689885,69,138.227298
38.610264,200,139.406167
27.489374,200,139.616661
26.101385,200,139.669658
26.936426,200,139.770007
-9.015764,200,139.871077
19.706392,200,140.029333
46.225998,200,140.048438
48.18117,200,140.529615
15.05944,107,141.048098
25.139874,200,141.63869
31.51937,200,141.796885
25.656559,200,141.839731
10.374738,200,141.933468
24.992474,200,142.197031
4.178416,200,142.22046
39.794422,200,142.675158
14.781097,200,143.148466
7.337403,200,143.757853
31.043531,200,143.914896
28.521357,200,143.960841
31.721096,200,144.052698
12.249028,200,144.309822
14.187429,200,144.328967
16.73025,200,144.797111
34.316895,200,145.278519
-3.3078012,200,145.869605
1.9060023,109,145.947525
18.041506,200,146.047864
34.942944,200,146.09037
14.603767,200,146.181157
14.128409,200,146.453779
24.14002,200,146.477459
7.1203074,93,147.209723
-5.176787,200,147.465114
59.11162,200,148.080558
2.822451,200,148.155244
4.9612513,200,148.245514
34.964592,200,148.286466
0.77021146,200,148.66995
32.978485,200,148.689932
-5.1344767,124,148.839603
60.89515,200,149.436044
-0.5817483,101,149.805983
45.59854,161,150.029337
17.576973,185,150.113811
29.38265,200,150.352886
35.837597,200,150.508325
16.703989,200,150.862058
-11.595627,139,150.946028
3.9950368,200,151.033767
5.6563234,123,151.446171
19.185934,143,151.563736
6.351825,109,151.659023
21.970268,130,151.748105
11.280638,200,151.94796
1.039078,46,152.054244
7.78979,151,152.539058
16.647638,127,152.778896
-0.52243066,200,152.971873
-4.1009035,200,153.149524
25.906712,151,153.68806
14.887455,162,153.697172
10.129102,200,153.811793
19.473663,200,153.897102
39.755676,128,154.529754
26.071636,200,154.700274
22.675608,200,154.950934
48.883442,200,155.178264
2.4020195,151,155.505851
7.445864,176,155.656608
-2.771603,71,155.78452
12.659305,200,155.905943
3.5380661,200,156.111841
2.030665,87,156.14632
5.323879,129,156.164267
25.196909,200,156.799776
2.8295052,116,157.457792
10.932947,200,157.717108
21.842806,150,157.856839
29.49889,198,157.866462
16.410946,200,158.025051
5.3691244,200,158.158225
-2.3400578,127,158.240667
56.680294,200,158.378665
13.558157,200,159.633476
12.724761,200,159.899763
23.900417,200,160.025264
16.683401,200,160.034997
36.5948,200,160.180833
5.4397883,200,160.29682
10.133336,200,160.377749
38.40022,200,160.541735
13.162447,200,161.807221
10.800691,200,162.073824
9.494476,200,162.194413
34.77525,200,162.204505
53.35476,200,162.359628
22.197906,200,162.487822
12.3151865,200,162.559532
7.337911,200,162.684673
16.249659,200,164.146018
38.01522,200,164.440024
22.171545,200,164.565051
18.0908,200,164.575088
56.50598,200,164.7228
14.37151,200,164.868402
59.01982,200,164.938886
39.198906,200,165.086311
4.175108,200,166.404966
13.212633,200,166.667034
36.086063,163,166.745293
47.45394,200,166.784667
8.290834,200,166.799317
21.78944,200,166.972764
-2.2507598,200,167.094779
9.269178,200,167.3261
-4.3577256,110,168.099581
2.9194481,200,168.813018
7.6506886,200,169.126829
72.74773,200,169.213608
18.064283,200,169.277957
39.170708,200,169.471725
13.055371,200,169.616131
0.59836626,117,169.628446
17.094255,200,169.862528
10.838538,200,171.382656
17.28479,200,171.697489
37.244297,200,171.788885
40.698956,200,171.861468
20.279776,200,172.066138
7.9726133,200,172.224624
17.009266,200,172.233875
16.768154,200,172.48114
28.313738,200,174.082145
37.780704,200,174.417199
4.0330453,200,174.501045
9.869338,200,174.575417
25.850725,200,174.755834
15.203869,200,174.900433
33.21397,200,174.919359
12.493614,200,175.177626
37.382187,200,176.800267
5.53301,200,177.133158
32.366264,200,177.251452
22.325495,200,177.306105
19.835024,200,177.476689
-2.0399926,200,177.619516
3.3867025,200,177.630696
30.985949,200,177.891762
6.127154,200,179.46465
20.101503,200,179.749864
32.642998,200,179.824522
36.510944,200,179.880098
27.564053,200,180.058269
24.567059,200,180.189397
18.482656,200,180.200757
28.190666,200,180.463578
38.74985,200,181.997593
27.499043,200,182.308959
9.655183,200,182.396562
25.699018,200,182.468217
47.2852,200,182.651636
10.381049,200,182.827808
35.189407,200,182.845182
16.925241,200,183.082504
6.541312,200,184.493755
2.4671268,200,184.750941
5.905244,200,184.826381
6.485602,200,184.8817
56.39144,200,185.023384
6.110024,200,185.132992
51.690445,200,185.145218
-8.462192,28,185.166686
20.34226,200,185.351969
18.804981,200,186.723681
12.79742,200,186.996898
20.609615,200,187.074261
29.886436,200,187.274966
9.651117,200,187.392647
26.189249,200,187.401068
6.046585,200,187.423229
5.804881,200,187.601008
43.26125,200,188.906744
-0.1146834,200,189.18784
18.725956,200,189.268477
1.6135452,200,189.494098
32.50655,200,189.62899
16.071878,200,189.641055
29.653896,200,189.661889
22.365374,200,189.880397
-4.238549,35,189.927954
1.4388108,82,190.626203
-10.846907,87,190.683272
13.430236,200,191.206838
1.8454632,200,191.554791
8.764132,165,191.633835
8.189043,200,191.661513
3.2083542,200,192.448418
-5.3341293,200,192.514344
-13.921667,105,193.068432
-3.757128,200,193.202828
8.429954,200,193.28353
1.6472561,200,193.85984
45.36694,200,194.144171
-4.530507,86,194.200667
23.599567,200,194.222856
-1.5228251,200,194.786002
28.396635,200,194.832199
49.40991,200,195.387404
7.9366794,200,195.550278
-2.402455,36,195.849221
46.083687,200,196.267266
31.401386,200,196.543915
3.412004,200,196.594949
46.186275,200,196.616017
-4.3068776,70,197.04328
11.415858,200,197.164669
0.4843708,200,197.211684
1.7294143,200,197.894034
16.417032,200,198.121165
-14.344542,200,198.732144
18.345905,200,198.804251
13.371272,200,198.833021
-7.1151457,34,199.23823
0.77104956,200,199.285816
4.2915325,200,199.401421
12.431673,200,199.462742
9.564008,200,200.180143
40.149292,200,200.396027
14.129152,200,200.931756
-0.29561314,200,200.986042
10.510354,200,201.383693
7.5460014,200,201.43438
31.912594,200,201.556322
15.930838,200,201.597812
49.932266,200,202.302738
27.148632,200,202.534769
